,location,bedrooms,bathrooms,price,Bed/Bath
1945,"Shanzu, Mombasa",1,1,55000,1.0
1946,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
1948,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
1949,"Kilimani, Nairobi",3,3,75000,1.0
1951,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3,65000,0.6666666666666666
1952,"Westlands, Nairobi",2,2,100000,1.0
1953,"Off Othaya road, Lavington, Nairobi",3,3,125000,1.0
1954,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
1955,"Kileleshwa, Nairobi",3,4,70000,0.75
1956,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
1957,"Kileleshwa, Nairobi",1,1,110000,1.0
1958,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
1959,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
1961,"Muthaiga, Nairobi",4,5,300000,0.8
1962,"Nyali, Mombasa",1,1,5000,1.0
1963,"Westlands, Nairobi",4,2,165000,2.0
1964,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
1965,"Shanzu, Mombasa",1,1,55000,1.0
1966,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
1967,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
1969,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
1970,"Kilimani, Nairobi",3,3,75000,1.0
1972,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3,65000,0.6666666666666666
1973,"Westlands, Nairobi",2,2,100000,1.0
1974,"Off Othaya road, Lavington, Nairobi",3,3,125000,1.0
1975,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
1976,"Kileleshwa, Nairobi",3,4,70000,0.75
1977,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
1978,"Kileleshwa, Nairobi",1,1,110000,1.0
1979,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
1980,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
1982,"Muthaiga, Nairobi",4,5,300000,0.8
1983,"Nyali, Mombasa",1,1,5000,1.0
1984,"Westlands, Nairobi",4,2,165000,2.0
1985,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
1986,"Shanzu, Mombasa",1,1,55000,1.0
1987,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
1989,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
1990,"Westlands, Nairobi",4,2,165000,2.0
1991,"Kilimani, Nairobi",3,3,75000,1.0
1993,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3,65000,0.6666666666666666
1994,"Westlands, Nairobi",2,2,100000,1.0
1995,"Off Othaya road, Lavington, Nairobi",3,3,125000,1.0
1996,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
1997,"Kileleshwa, Nairobi",3,4,70000,0.75
1998,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
1999,"Kileleshwa, Nairobi",1,1,110000,1.0
2000,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
2001,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
2003,"Muthaiga, Nairobi",4,5,300000,0.8
2004,"Nyali, Mombasa",1,1,5000,1.0
2005,"Westlands, Nairobi",4,2,165000,2.0
2006,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
2007,"Shanzu, Mombasa",1,1,55000,1.0
2008,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
2010,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
2011,"Kilimani, Nairobi",3,3,75000,1.0
2013,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3,65000,0.6666666666666666
2014,"Westlands, Nairobi",2,2,100000,1.0
2015,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
2016,"Off Othaya road, Lavington, Nairobi",3,3,125000,1.0
2017,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
2018,"Kileleshwa, Nairobi",3,4,70000,0.75
2019,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
2020,"Kileleshwa, Nairobi",1,1,110000,1.0
2021,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
2022,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
2024,"Muthaiga, Nairobi",4,5,300000,0.8
2025,"Nyali, Mombasa",1,1,5000,1.0
2026,"Westlands, Nairobi",4,2,165000,2.0
2027,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
2028,"Shanzu, Mombasa",1,1,55000,1.0
2029,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
2031,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
2032,"Kilimani, Nairobi",3,3,75000,1.0
2034,"Muthaiga, Nairobi",4,5,300000,0.8
2035,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3,65000,0.6666666666666666
2036,"Westlands, Nairobi",2,2,100000,1.0
2037,"Off Othaya road, Lavington, Nairobi",3,3,125000,1.0
2038,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
2039,"Kileleshwa, Nairobi",3,4,70000,0.75
2040,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
2041,"Kileleshwa, Nairobi",1,1,110000,1.0
2042,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
2043,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
2045,"Muthaiga, Nairobi",4,5,300000,0.8
2046,"Nyali, Mombasa",1,1,5000,1.0
2047,"Westlands, Nairobi",4,2,165000,2.0
2048,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
2049,"Shanzu, Mombasa",1,1,55000,1.0
2050,"Shanzu, Mombasa",1,1,55000,1.0
2051,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
2053,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
2054,"Kilimani, Nairobi",3,3,75000,1.0
2056,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3,65000,0.6666666666666666
2057,"Westlands, Nairobi",2,2,100000,1.0
2058,"Off Othaya road, Lavington, Nairobi",3,3,125000,1.0
2059,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
2060,"Kileleshwa, Nairobi",3,4,70000,0.75
2061,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
2062,"Kileleshwa, Nairobi",1,1,110000,1.0
2063,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
2064,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
2066,"Muthaiga, Nairobi",4,5,300000,0.8
2067,"Nyali, Mombasa",1,1,5000,1.0
2068,"Westlands, Nairobi",4,2,165000,2.0
2069,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
2070,"Shanzu, Mombasa",1,1,55000,1.0
2071,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
2073,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
2074,"Kilimani, Nairobi",3,3,75000,1.0
2076,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3,65000,0.6666666666666666
2077,"Westlands, Nairobi",2,2,100000,1.0
2078,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
2079,"Off Othaya road, Lavington, Nairobi",3,3,125000,1.0
2080,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
2081,"Kileleshwa, Nairobi",3,4,70000,0.75
2082,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
2083,"Kileleshwa, Nairobi",1,1,110000,1.0
2084,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
2085,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
2086,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
2088,"Muthaiga, Nairobi",4,5,300000,0.8
2089,"Nyali, Mombasa",1,1,5000,1.0
2090,"Westlands, Nairobi",4,2,165000,2.0
2091,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
2092,"Shanzu, Mombasa",1,1,55000,1.0
2093,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
2095,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
2096,"Kilimani, Nairobi",3,3,75000,1.0
2098,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3,65000,0.6666666666666666
2099,"Westlands, Nairobi",2,2,100000,1.0
2100,"Off Othaya road, Lavington, Nairobi",3,3,125000,1.0
2101,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
2102,"Kileleshwa, Nairobi",3,4,70000,0.75
2103,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
2104,"Kileleshwa, Nairobi",1,1,110000,1.0
2105,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
2106,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
2108,"Muthaiga, Nairobi",4,5,300000,0.8
2109,"Kileleshwa, Nairobi",1,1,110000,1.0
2110,"Nyali, Mombasa",1,1,5000,1.0
2111,"Westlands, Nairobi",4,2,165000,2.0
2112,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
2113,"Shanzu, Mombasa",1,1,55000,1.0
2114,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
2116,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
2117,"Kilimani, Nairobi",3,3,75000,1.0
2119,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3,65000,0.6666666666666666
2120,"Westlands, Nairobi",2,2,100000,1.0
2121,"Jabavu court, Kilimani, Nairobi",3,3,80000,1.0
2122,"Nyali, Mombasa",1,1,5000,1.0
2123,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
2124,"Kileleshwa, Nairobi",3,4,70000,0.75
2125,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
2126,"Kileleshwa, Nairobi",1,1,110000,1.0
2127,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
2128,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
2130,"Muthaiga, Nairobi",4,5,300000,0.8
2131,"Nyali, Mombasa",1,1,5000,1.0
2132,"Westlands, Nairobi",4,2,165000,2.0
2133,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
2134,"Shanzu, Mombasa",1,1,55000,1.0
2135,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
2137,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
2138,"Kilimani, Nairobi",3,3,75000,1.0
2140,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3,65000,0.6666666666666666
2141,"Westlands, Nairobi",2,2,100000,1.0
2142,"Off Othaya road, Lavington, Nairobi",3,3,125000,1.0
2143,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
2144,"Kileleshwa, Nairobi",3,4,70000,0.75
2145,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
2146,"Kileleshwa, Nairobi",1,1,110000,1.0
2147,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
2148,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
2150,"Muthaiga, Nairobi",4,5,300000,0.8
2151,"Nyali, Mombasa",1,1,5000,1.0
2152,"Westlands, Nairobi",4,2,165000,2.0
2153,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
2154,"Shanzu, Mombasa",1,1,55000,1.0
2155,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
2156,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
2158,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
2159,"Kilimani, Nairobi",3,3,75000,1.0
2161,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3,65000,0.6666666666666666
2162,"Westlands, Nairobi",2,2,100000,1.0
2163,"Off Othaya road, Lavington, Nairobi",3,3,125000,1.0
2164,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
2165,"Kileleshwa, Nairobi",3,4,70000,0.75
2166,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
2167,"Kileleshwa, Nairobi",1,1,110000,1.0
2168,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
2169,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
2171,"Muthaiga, Nairobi",4,5,300000,0.8
2172,"Nyali, Mombasa",1,1,5000,1.0
2173,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
2174,"Westlands, Nairobi",4,2,165000,2.0
2175,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
2176,"Shanzu, Mombasa",1,1,55000,1.0
2177,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
2179,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
2180,"Kilimani, Nairobi",3,3,75000,1.0
2182,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3,65000,0.6666666666666666
2183,"Westlands, Nairobi",2,2,100000,1.0
2184,"Off Othaya road, Lavington, Nairobi",3,3,125000,1.0
2185,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
2186,"Kileleshwa, Nairobi",3,4,70000,0.75
2187,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
2188,"Kileleshwa, Nairobi",1,1,110000,1.0
2189,"Shanzu, Mombasa",1,1,55000,1.0
2190,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
2191,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
2193,"Muthaiga, Nairobi",4,5,300000,0.8
2194,"Nyali, Mombasa",1,1,5000,1.0
2195,"Westlands, Nairobi",4,2,165000,2.0
2196,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
2197,"Shanzu, Mombasa",1,1,55000,1.0
2198,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
2200,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
2201,"Kilimani, Nairobi",3,3,75000,1.0
2203,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3,65000,0.6666666666666666
2204,"Westlands, Nairobi",2,2,100000,1.0
2205,"Jabavu court, Kilimani, Nairobi",3,3,80000,1.0
2206,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
2207,"Kileleshwa, Nairobi",3,4,70000,0.75
2208,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
2209,"Kileleshwa, Nairobi",1,1,110000,1.0
2210,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
2211,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
2213,"Muthaiga, Nairobi",4,5,300000,0.8
2214,"Nyali, Mombasa",1,1,5000,1.0
2215,"Westlands, Nairobi",4,2,165000,2.0
2216,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
2217,"Shanzu, Mombasa",1,1,55000,1.0
2218,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
2219,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
2221,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
2222,"Kilimani, Nairobi",3,3,75000,1.0
2224,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3,65000,0.6666666666666666
2225,"Westlands, Nairobi",2,2,100000,1.0
2226,"Off Othaya road, Lavington, Nairobi",3,3,125000,1.0
2227,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
2228,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
2229,"Kileleshwa, Nairobi",3,4,70000,0.75
2230,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
2231,"Kileleshwa, Nairobi",1,1,110000,1.0
2232,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
2233,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
2235,"Muthaiga, Nairobi",4,5,300000,0.8
2236,"Nyali, Mombasa",1,1,5000,1.0
2237,"Westlands, Nairobi",4,2,165000,2.0
2238,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
2239,"Shanzu, Mombasa",1,1,55000,1.0
2240,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
2242,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
2243,"Kilimani, Nairobi",3,3,75000,1.0
2245,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3,65000,0.6666666666666666
2246,"Westlands, Nairobi",2,2,100000,1.0
2247,"Off Othaya road, Lavington, Nairobi",3,3,125000,1.0
2248,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
2249,"Kileleshwa, Nairobi",3,4,70000,0.75
2250,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
2251,"Westlands, Nairobi",4,2,165000,2.0
2252,"Kileleshwa, Nairobi",1,1,110000,1.0
2253,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
2254,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
2256,"Muthaiga, Nairobi",4,5,300000,0.8
2257,"Nyali, Mombasa",1,1,5000,1.0
2258,"Westlands, Nairobi",4,2,165000,2.0
2259,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
2260,"Shanzu, Mombasa",1,1,55000,1.0
2261,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
2263,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
2264,"Kilimani, Nairobi",3,3,75000,1.0
2266,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3,65000,0.6666666666666666
2267,"Westlands, Nairobi",2,2,100000,1.0
2268,"Off Othaya road, Lavington, Nairobi",3,3,125000,1.0
2269,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
2270,"Kileleshwa, Nairobi",3,4,70000,0.75
2271,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
2272,"Kileleshwa, Nairobi",1,1,110000,1.0
2273,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
2274,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
2275,"Kileleshwa, Nairobi",3,4,70000,0.75
2277,"Muthaiga, Nairobi",4,5,300000,0.8
2278,"Nyali, Mombasa",1,1,5000,1.0
2279,"Westlands, Nairobi",4,2,165000,2.0
2280,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
2281,"Shanzu, Mombasa",1,1,55000,1.0
2282,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
2284,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
2285,"Kilimani, Nairobi",3,3,75000,1.0
2287,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3,65000,0.6666666666666666
2288,"Westlands, Nairobi",2,2,100000,1.0
2289,"Off Othaya road, Lavington, Nairobi",3,3,125000,1.0
2290,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
2291,"Kileleshwa, Nairobi",3,4,70000,0.75
2292,"Kileleshwa, Nairobi",3,4,70000,0.75
2293,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
2294,"Kileleshwa, Nairobi",1,1,110000,1.0
2295,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
2296,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
2298,"Muthaiga, Nairobi",4,5,300000,0.8
2299,"Nyali, Mombasa",1,1,5000,1.0
2300,"Westlands, Nairobi",4,2,165000,2.0
2301,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
2302,"Shanzu, Mombasa",1,1,55000,1.0
2303,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
2305,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
2306,"Kilimani, Nairobi",3,3,75000,1.0
2308,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3,65000,0.6666666666666666
2309,"Westlands, Nairobi",2,2,100000,1.0
2310,"Jabavu court, Kilimani, Nairobi",3,3,80000,1.0
2311,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
2312,"Kileleshwa, Nairobi",3,4,70000,0.75
2313,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
2314,"Kileleshwa, Nairobi",1,1,110000,1.0
2315,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
2316,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
2318,"Muthaiga, Nairobi",4,5,300000,0.8
2319,"Nyali, Mombasa",1,1,5000,1.0
2320,"Westlands, Nairobi",4,2,165000,2.0
2321,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
2322,"Shanzu, Mombasa",1,1,55000,1.0
2323,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
2325,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
2326,"Kilimani, Nairobi",3,3,75000,1.0
2327,"Kilimani, Nairobi",3,3,75000,1.0
2329,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3,65000,0.6666666666666666
2330,"Westlands, Nairobi",2,2,100000,1.0
2331,"Jabavu court, Kilimani, Nairobi",3,3,80000,1.0
2332,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
2333,"Kileleshwa, Nairobi",3,4,70000,0.75
2334,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
2335,"Kileleshwa, Nairobi",1,1,110000,1.0
2336,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
2337,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
2339,"Muthaiga, Nairobi",4,5,300000,0.8
2340,"Muthaiga, Nairobi",4,5,300000,0.8
2341,"Nyali, Mombasa",1,1,5000,1.0
2342,"Westlands, Nairobi",4,2,165000,2.0
2343,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
2344,"Shanzu, Mombasa",1,1,55000,1.0
2345,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
2347,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
2348,"Kilimani, Nairobi",3,3,75000,1.0
2350,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3,65000,0.6666666666666666
2351,"Westlands, Nairobi",2,2,100000,1.0
2352,"Jabavu court, Kilimani, Nairobi",3,3,80000,1.0
2354,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
2355,"Kileleshwa, Nairobi",3,4,70000,0.75
2356,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
2357,"Kileleshwa, Nairobi",1,1,110000,1.0
2358,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
2359,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
2361,"Muthaiga, Nairobi",4,5,300000,0.8
2362,"Nyali, Mombasa",1,1,5000,1.0
2363,"Westlands, Nairobi",4,2,165000,2.0
2364,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
2365,"Shanzu, Mombasa",1,1,55000,1.0
2366,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
2368,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
2369,"Kilimani, Nairobi",3,3,75000,1.0
2371,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3,65000,0.6666666666666666
2372,"Westlands, Nairobi",2,2,100000,1.0
2373,"Jabavu court, Kilimani, Nairobi",3,3,80000,1.0
2374,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
2375,"Kileleshwa, Nairobi",3,4,70000,0.75
2376,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
2377,"Kileleshwa, Nairobi",1,1,110000,1.0
2378,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
2379,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
2381,"Muthaiga, Nairobi",4,5,300000,0.8
2382,"Nyali, Mombasa",1,1,5000,1.0
2383,"Westlands, Nairobi",4,2,165000,2.0
2384,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
2385,"Shanzu, Mombasa",1,1,55000,1.0
2386,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
2388,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
2389,"Kilimani, Nairobi",3,3,75000,1.0
2391,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3,65000,0.6666666666666666
2392,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
2393,"Westlands, Nairobi",2,2,100000,1.0
2394,"Jabavu court, Kilimani, Nairobi",3,3,80000,1.0
2395,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
2396,"Kileleshwa, Nairobi",3,4,70000,0.75
2397,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
2398,"Kileleshwa, Nairobi",1,1,110000,1.0
2399,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
2400,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
2402,"Muthaiga, Nairobi",4,5,300000,0.8
2403,"Nyali, Mombasa",1,1,5000,1.0
2404,"Westlands, Nairobi",4,2,165000,2.0
2405,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
2406,"Shanzu, Mombasa",1,1,55000,1.0
2407,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
2409,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
2410,"Kilimani, Nairobi",3,3,75000,1.0
2412,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3,65000,0.6666666666666666
2413,"Kileleshwa, Nairobi",3,4,70000,0.75
2414,"Westlands, Nairobi",2,2,100000,1.0
2415,"Jabavu court, Kilimani, Nairobi",3,3,80000,1.0
2416,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
2417,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
2418,"Kileleshwa, Nairobi",3,4,70000,0.75
2419,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
2420,"Kileleshwa, Nairobi",1,1,110000,1.0
2421,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
2422,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
2424,"Muthaiga, Nairobi",4,5,300000,0.8
2425,"Nyali, Mombasa",1,1,5000,1.0
2426,"Westlands, Nairobi",4,2,165000,2.0
2427,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
2428,"Shanzu, Mombasa",1,1,55000,1.0
