,location,bedrooms,bathrooms,price,Bed/Bath
1586,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
1587,"Shanzu, Mombasa",1,1,55000,1.0
1588,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
1590,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
1591,"Kilimani, Nairobi",3,3,75000,1.0
1593,"Westlands, Nairobi",4,2,165000,2.0
1594,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3,65000,0.6666666666666666
1595,"Westlands, Nairobi",2,2,100000,1.0
1596,"Vihiga road, Kileleshwa, Nairobi",3,3,100000,1.0
1597,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
1598,"Kileleshwa, Nairobi",3,4,70000,0.75
1599,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
1600,"Kileleshwa, Nairobi",1,1,110000,1.0
1601,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
1602,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
1604,"Muthaiga, Nairobi",4,5,300000,0.8
1605,"Nyali, Mombasa",1,1,5000,1.0
1606,"Westlands, Nairobi",4,2,165000,2.0
1607,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
1608,"Shanzu, Mombasa",1,1,55000,1.0
1610,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
1612,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
1613,"Kilimani, Nairobi",3,3,75000,1.0
1615,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3,65000,0.6666666666666666
1616,"Westlands, Nairobi",2,2,100000,1.0
1617,"Vihiga road, Kileleshwa, Nairobi",3,3,100000,1.0
1618,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
1619,"Kileleshwa, Nairobi",3,4,70000,0.75
1620,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
1621,"Kileleshwa, Nairobi",1,1,110000,1.0
1622,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
1623,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
1625,"Muthaiga, Nairobi",4,5,300000,0.8
1626,"Nyali, Mombasa",1,1,5000,1.0
1627,"Westlands, Nairobi",4,2,165000,2.0
1628,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
1629,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
1630,"Shanzu, Mombasa",1,1,55000,1.0
1631,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
1633,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
1634,"Kilimani, Nairobi",3,3,75000,1.0
1636,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3,65000,0.6666666666666666
1637,"Westlands, Nairobi",2,2,100000,1.0
1638,"Vihiga road, Kileleshwa, Nairobi",3,3,100000,1.0
1639,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
1640,"Kileleshwa, Nairobi",3,4,70000,0.75
1641,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
1642,"Kileleshwa, Nairobi",1,1,110000,1.0
1643,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
1644,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
1646,"Muthaiga, Nairobi",4,5,300000,0.8
1647,"Nyali, Mombasa",1,1,5000,1.0
1648,"Westlands, Nairobi",4,2,165000,2.0
1649,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
1650,"Shanzu, Mombasa",1,1,55000,1.0
1651,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
1652,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
1654,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
1655,"Kilimani, Nairobi",3,3,75000,1.0
1657,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3,65000,0.6666666666666666
1658,"Westlands, Nairobi",2,2,100000,1.0
1659,"Vihiga road, Kileleshwa, Nairobi",3,3,100000,1.0
1660,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
1661,"Kileleshwa, Nairobi",3,4,70000,0.75
1662,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
1663,"Kileleshwa, Nairobi",1,1,110000,1.0
1664,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
1665,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
1667,"Muthaiga, Nairobi",4,5,300000,0.8
1668,"Nyali, Mombasa",1,1,5000,1.0
1669,"Westlands, Nairobi",4,2,165000,2.0
1670,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
1671,"Shanzu, Mombasa",1,1,55000,1.0
1672,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
1674,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
1675,"Kilimani, Nairobi",3,3,75000,1.0
1677,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3,65000,0.6666666666666666
1679,"Westlands, Nairobi",2,2,100000,1.0
1680,"Vihiga road, Kileleshwa, Nairobi",3,3,100000,1.0
1681,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
1682,"Kileleshwa, Nairobi",3,4,70000,0.75
1683,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
1684,"Kileleshwa, Nairobi",1,1,110000,1.0
1685,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
1686,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
1688,"Muthaiga, Nairobi",4,5,300000,0.8
1689,"Nyali, Mombasa",1,1,5000,1.0
1690,"Westlands, Nairobi",4,2,165000,2.0
